Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active,
Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-10,N, 
North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-26,N,
Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-08,N,
Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (Not subtyped),Metapneumovirus,2017-12-29,2018-01-15,N,
Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-12-28,2018-01-05,N,
Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2017-12-27,2018-01-05,N,
William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-12-26,2018-01-02,N,
Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-2,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2017-12-26,2018-01-10,N,
Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2017-12-25,2018-01-09,N,
Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-12-25,2018-01-03,N,
Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,,2017-12-24,2018-01-05,N,
Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2017-12-24,2018-01-02,N,
Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-12-22,2017-12-30,N,
"St. Hilda's Towers - Dufferin Tower - MED, RIU & TCP",2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-12-22,2017-12-28,N,
St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-12-22,2017-12-30,N,
Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-12-21,2018-01-13,N,
Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3 LGUB,Hospital-Psychiatric,Respiratory,Unable to identify,,2017-12-21,2017-12-30,N,
Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-12-20,2018-01-03,N,
Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2017-12-20,,Y,
Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,,2017-12-20,2018-01-03,N,
Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,,2017-12-19,2018-01-02,N,
Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,,2017-12-19,2018-01-29,N,
Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,,2017-12-18,2017-12-28,N,
Valleyview Residence - 3 East,541 Finch Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2017-12-18,2017-12-27,N,
New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,,2017-12-18,2018-01-09,N,
Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A (H3),,2017-12-18,2017-12-31,N,
Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,,2017-12-18,2018-01-05,N,
Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,,2017-12-15,2017-12-27,N,
William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2017-12-15,2017-12-29,N,
Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2017-12-14,2017-12-23,N,
St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-12-14,2017-12-23,N,
Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,2017-12-14,2017-12-22,N,
Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,,2017-12-13,2018-01-11,N,
St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-12-13,2017-12-19,N,
Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-12,2017-12-27,N,
Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-11,2018-01-05,N,
Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A (H3),Parainfluenza virus,2017-12-11,2018-01-02,N,
Centre for Addiction and Mental Health - Queen Site,1001 Queen St W - 80 Workman Way - 3rd Fl,Hospital-Psychiatric,Enteric,Unable to identify,,2017-12-11,2017-12-18,N,
The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2017-12-11,2017-12-18,N,
Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,,2017-12-10,2017-12-18,N,
St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2017-12-08,2017-12-18,N,
North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,,2017-12-08,2017-12-26,N,
Yee Hong Centre For Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 4th Fl,LTCH,Enteric,Norovirus-like,,2017-12-08,2017-12-20,N,
Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,,2017-12-08,2017-12-21,N,
Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza type 2,,2017-12-07,2017-12-14,N,
Bridgepoint Active Healthcare - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2017-12-07,2017-12-14,N,
Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,,2017-12-06,2017-12-14,N,
The Wexford Residence - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2017-12-06,2017-12-15,N,
Baycrest Apotex Centre - 7RF,3560 Bathurst St,LTCH,Respiratory,Parainfluenza type 4,,2017-12-05,2017-12-14,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-04,2017-12-20,N,
Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-03,2017-12-17,N,
Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,,2017-12-01,2017-12-15,N,
St. Michael's Hospital - 4 Donnelly - Palliative Care,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-12-01,2017-12-09,N,
St. Hilda's Towers - Vaughan Tower - Medical Unit,2239 Dufferin St,Retirement Home,Enteric,Norovirus-like,,2017-11-30,2017-12-08,N,
Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-11-30,2017-12-11,N,
Chartwell Gibson Long Term Care - Units 2 & 3,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),,2017-11-29,2017-12-15,N,
Harold and Grace Retirement Residence - 4th & 6th Fl,1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,,2017-11-24,2017-12-04,N,
West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2017-11-23,2017-12-02,N,
Harold and Grace Baker Centre,1 Northwestern Ave,LTCH,Enteric,Norovirus-like,,2017-11-23,2017-12-04,N,
Mon Sheong Scarborough Long Term Care - Ground Fl,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-11-21,2017-11-29,N,
Bendale Acres - 2 East Unit & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3N2),Parainfluenza type 1,2017-11-20,2017-12-05,N,
Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,,2017-11-20,2017-12-05,N,
Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-11-15,2017-11-24,N,
Vermont Square - 4th Fl,914 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,,2017-11-14,2017-11-30,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2017-11-03,2017-11-20,N,
The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2017-11-03,2017-11-11,N,
Extendicare Craiglee - 1 West,102 Craiglee Dr,LTCH,Respiratory,Influenza A (H3),,2017-11-02,2017-12-03,N,
Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,,2017-11-01,2017-11-13,N,
Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Parainfluenza Type 1,,2017-11-01,2017-11-10,N,
"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2017-10-31,2017-11-23,N,
147 Elder Street,147 Elder St,Retirement Home,Respiratory,Unable to identify,,2017-10-31,2017-11-16,N,
"True Davidson Acres - 1 West, 2 East & 2 West",200 Dawes Rd,LTCH,Enteric,Norovirus-like,,2017-10-31,2017-11-08,N,
Kensington Gardens - North Building - 1 East,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,,2017-10-27,2017-11-05,N,
Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 2nd Fl,LTCH,Respiratory,Unable to identify,,2017-10-19,2017-10-28,N,
Vermont Square - 3rd Fl,914 Bathurst St,LTCH,Respiratory,Unable to identify,,2017-10-17,2017-11-06,N,
