Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active
McCall Centre - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Enteric,Pending,,2018-04-04,,Y
Copernicus Lodge - 1 North,66 Roncesvalles Ave,LTCH,Enteric,Pending,,2018-04-03,,Y
Donway Place,8 Donway Pl,Retirement Home,Respiratory,Influenza B,,2018-04-03,,Y
Maynard Nursing Home,28 Halton St,LTCH,Respiratory,Pending,,2018-04-03,,Y
"Chester Village - Jade, Amethyst, Emerald & Ruby",3555 Danforth Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-01,,Y
Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Metapneumovirus,,2018-03-31,,Y
Midland Gardens Care Community,130 Midland Ave,LTCH,Enteric,Pending,,2018-03-29,,Y
St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-03-28,,Y
Sunnybrook Health Sciences Centre - LGSW & LGSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-28,,Y
Greenview Lodge - 2nd Fl (Secured Unit),880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-03-27,2018-04-02,N
West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,,2018-03-27,2018-04-04,N
Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza B,,2018-03-26,,Y
Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,,2018-03-26,2018-04-03,N
St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-03-26,2018-04-03,N
Ukrainian Canadian Care Centre - 4th Fl,60 Richview Rd,LTCH,Respiratory,Pending,,2018-03-26,,Y
